"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3,40,12,48,2,12,25,22,29,17,2,15,7,42,7,28,41,3,2,18,34,14,47,33,1,12,20,37,15,38,31,39,38,14,16,39,22,34,45,38,41,33,26,29,40,32,29,14,2,45,32,28,9,26,25,32,34,37,20,30,49,43,38,26,30,2,17,3,39,36,15,47,4,47,10,36,45,3,49,22,33,18,21,30,25,44,18,13,29,22,6,14,45,15,22,3,3,13,23,46
"2",35,84,51,10,57,4,42,100,10,1,19,12,28,46,31,36,90,30,65,60,86,9,75,42,60,20,88,10,41,74,98,62,11,1,17,63,27,16,38,86,66,65,36,87,69,34,92,17,60,33,49,93,77,36,8,91,92,71,36,64,52,76,71,47,26,44,59,73,13,18,25,40,1,17,65,81,84,68,83,7,100,8,12,26,82,52,34,95,87,45,22,22,60,29,89,52,78,49,78,3
"3",0,94,92,99,2,25,51,99,95,30,42,3,42,43,89,29,43,13,67,41,96,50,65,69,76,88,49,83,45,35,6,94,93,89,2,68,39,23,97,63,93,42,87,71,81,78,88,21,35,40,32,78,96,16,79,40,66,17,26,17,93,14,70,34,41,95,13,48,41,23,50,63,25,79,53,100,39,69,25,20,31,29,67,4,69,26,12,24,50,80,46,4,71,66,13,9,14,5,19,96
"4",0,0,35,81,86,26,56,80,84,39,50,6,21,58,36,35,95,91,22,79,94,35,73,66,72,27,44,1,46,36,36,21,2,16,33,49,32,46,53,16,83,50,67,54,66,79,74,5,24,92,87,17,9,94,55,21,19,14,16,88,68,32,29,89,29,7,10,69,53,74,4,46,65,56,39,23,48,78,13,47,69,75,82,84,17,60,40,80,7,41,24,20,43,55,20,2,34,37,96,44
"5",0,0,0,90,41,91,25,16,93,47,77,45,86,78,6,30,73,93,8,93,74,52,35,95,52,92,26,59,70,37,80,99,62,62,81,9,85,83,62,43,38,20,21,95,18,81,82,55,8,49,32,61,55,86,71,40,57,61,86,22,1,83,60,98,62,9,12,4,50,21,77,57,87,25,20,41,90,9,73,99,9,7,18,88,12,67,79,91,45,100,15,25,58,32,40,24,18,50,37,54
"6",0,0,0,0,11,35,66,97,64,42,58,13,94,95,20,71,85,82,59,65,24,96,6,62,42,50,43,80,82,17,76,3,8,63,25,34,62,41,46,73,61,70,23,59,64,30,31,68,42,89,28,62,48,23,25,93,70,52,15,1,33,87,36,24,97,78,87,79,59,32,67,17,31,70,74,53,96,59,13,52,44,22,10,8,78,99,38,38,63,62,40,80,29,86,67,40,50,27,33,98
"7",0,0,0,0,0,8,68,53,41,60,75,50,97,100,73,12,30,17,19,69,22,92,42,70,80,72,54,66,80,79,39,11,92,70,62,3,79,78,10,76,51,8,23,32,82,5,22,86,35,60,30,34,90,12,20,73,42,93,52,35,37,4,10,45,99,52,28,98,28,11,29,21,5,34,15,5,74,57,90,48,51,51,14,54,68,97,98,40,55,56,25,93,57,30,18,90,73,100,88,46
"8",0,0,0,0,0,0,20,8,39,40,43,74,37,30,45,52,56,83,51,43,42,11,86,53,70,12,8,66,67,38,58,6,5,31,63,24,39,19,43,49,51,44,90,90,49,49,55,29,37,4,60,82,32,47,90,4,10,3,74,26,80,77,29,6,56,90,74,55,89,19,22,94,21,26,49,13,96,66,77,93,62,30,36,63,20,45,86,21,13,60,12,21,10,79,81,60,57,10,10,25
"9",0,0,0,0,0,0,0,88,33,68,94,58,9,60,20,55,68,93,48,5,54,78,93,76,18,19,75,50,12,69,2,24,55,25,58,79,72,40,97,53,60,43,55,56,11,76,26,99,48,90,18,95,38,18,33,46,30,24,3,53,96,77,52,92,56,36,57,76,12,7,81,8,76,5,95,36,85,33,10,46,50,25,42,87,2,4,14,44,35,15,80,9,66,52,57,41,67,43,57,31
"10",0,0,0,0,0,0,0,0,98,80,26,97,53,54,28,36,76,60,57,25,93,95,22,66,89,34,53,82,45,94,6,40,35,32,59,22,44,73,26,54,8,76,75,70,66,75,19,97,37,92,90,73,94,97,100,14,82,87,68,17,54,85,65,22,58,87,15,7,80,98,10,77,38,72,1,78,4,46,21,79,19,14,14,52,77,7,35,9,32,24,86,90,85,89,89,100,53,97,43,62
