"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",40,40,50,22,40,40,11,15,9,3,7,30,29,15,3,38,50,26,19,43,25,47,38,8,19,18,35,6,2,24,22,44,35,41,18,9,30,42,50,14,35,34,40,7,34,18,48,14,31,10,10,25,7,29,28,23,18,6,14,31,22,49,21,8,33,20,20,19,49,30,42,29,37,44,21,5,37,11,47,47,23,21,5,10,30,30,43,26,34,46,2,15,35,4,26,23,27,29,12,23
"2",94,82,62,0,36,86,80,35,0,76,81,0,0,0,15,0,0,58,0,67,99,90,6,80,81,8,52,68,82,86,26,17,68,50,24,36,27,25,85,36,24,26,93,54,27,43,86,26,80,45,97,37,29,43,90,0,78,41,49,0,89,71,67,0,16,0,61,68,88,2,43,47,0,0,83,0,0,1,0,41,88,67,76,38,84,56,65,45,5,0,88,0,0,74,0,0,54,100,100,43
"3",0,99,0,51,0,30,3,43,0,0,13,41,50,69,88,83,35,94,89,68,23,0,93,87,81,88,0,40,0,96,79,66,0,17,14,34,95,0,0,0,50,25,0,100,0,25,31,67,69,12,0,80,4,66,9,0,19,84,81,26,80,39,6,58,35,91,79,35,66,0,44,46,36,2,33,0,46,16,50,54,79,5,92,17,94,21,0,16,68,29,29,10,0,74,46,0,39,48,13,69
"4",0,0,0,60,80,41,20,55,0,0,37,0,51,0,91,16,47,45,78,30,93,0,74,35,52,26,0,37,99,62,0,0,0,62,38,21,0,81,0,8,0,61,0,71,0,61,22,83,98,0,0,4,21,57,25,41,0,73,9,18,12,79,0,0,0,25,0,40,18,0,0,10,0,0,0,64,0,13,95,71,0,59,24,6,0,50,0,82,76,0,63,34,41,73,0,23,64,31,42,0
"5",0,0,0,23,93,52,0,33,36,97,87,59,0,0,31,0,53,59,0,44,10,78,0,38,0,0,0,29,67,50,33,0,8,53,60,50,100,0,30,0,69,92,0,80,54,80,39,0,70,0,79,10,51,0,32,5,0,35,30,90,20,42,52,37,10,99,28,0,11,0,5,15,74,90,51,14,68,98,0,0,25,57,18,73,88,4,8,40,74,30,52,83,43,0,0,0,70,8,67,58
"6",0,0,0,0,31,24,19,49,44,90,49,29,0,60,32,90,0,3,26,0,29,56,0,0,0,19,94,26,13,66,0,62,36,0,0,86,13,12,10,81,57,0,0,0,88,68,58,60,55,93,5,78,76,19,50,69,0,55,58,72,97,0,0,55,11,0,99,90,95,18,46,24,53,77,92,36,0,12,81,76,0,36,33,46,0,42,0,0,14,35,80,0,52,41,43,31,98,26,53,0
"7",0,0,0,0,0,60,0,93,22,89,53,45,6,35,59,44,26,8,75,0,0,0,0,37,90,0,0,100,82,68,54,0,22,0,15,80,0,0,38,1,4,21,19,14,77,35,32,86,85,89,53,43,10,7,0,0,57,0,38,45,27,95,0,71,14,0,21,0,69,0,57,0,72,38,49,98,55,0,43,0,70,1,0,72,0,14,29,84,99,92,0,27,0,0,40,82,10,0,0,17
"8",0,0,0,0,0,0,0,0,91,44,0,39,39,1,0,35,41,7,80,41,1,0,0,94,34,0,0,15,87,36,77,23,0,0,87,0,81,26,98,0,96,45,0,0,71,0,77,37,40,54,0,0,0,72,25,0,37,0,0,0,0,4,72,0,67,65,0,0,0,0,15,19,28,53,10,62,86,26,12,70,0,0,0,100,15,61,0,0,54,42,12,80,43,62,11,95,13,94,77,16
"9",0,0,0,0,0,0,0,56,56,21,87,31,0,52,37,64,80,4,68,71,0,9,70,1,66,28,0,31,0,0,9,47,69,0,83,41,0,41,29,77,64,97,95,18,63,0,0,99,0,16,32,98,74,58,29,3,6,37,82,74,66,0,61,35,0,0,0,9,60,97,50,22,67,13,3,30,28,20,78,49,48,81,0,53,0,38,36,0,84,0,18,72,75,53,98,62,31,31,88,6
"10",0,0,0,0,0,0,0,0,47,20,2,32,23,99,69,0,8,8,0,90,2,26,84,86,55,26,0,7,77,88,87,7,46,13,64,0,92,67,81,52,50,0,0,65,0,41,76,63,2,10,97,12,35,6,68,10,12,97,15,88,32,0,7,92,31,0,0,26,0,0,52,0,23,86,88,0,71,40,94,100,5,4,56,71,11,0,65,86,90,17,19,54,19,48,67,37,0,24,35,11
"11",0,0,0,0,0,0,0,0,0,62,0,27,9,91,18,27,0,86,71,28,0,0,90,57,30,29,86,70,0,0,62,74,5,8,99,36,77,64,0,63,0,5,71,0,41,79,43,71,0,20,28,91,95,88,0,37,33,12,16,81,59,70,38,6,45,43,54,87,59,0,27,22,0,1,0,44,0,99,27,97,39,47,0,80,39,77,78,34,0,42,1,0,0,0,0,0,66,71,11,49
"12",0,0,0,0,0,0,0,0,0,0,0,23,21,53,4,71,0,38,72,3,0,0,87,32,61,17,0,87,0,0,0,59,79,21,22,44,20,43,0,44,0,74,51,38,0,24,12,43,32,83,0,0,34,26,20,43,73,71,40,12,14,69,0,49,68,94,0,0,0,0,80,36,67,0,59,0,37,24,0,0,100,99,50,0,76,73,11,30,34,19,93,9,0,30,0,93,63,20,0,66
"13",0,0,0,0,0,0,0,0,0,0,0,81,25,12,66,40,65,51,95,0,42,0,0,2,92,79,61,79,32,77,44,53,46,26,96,52,86,5,36,19,53,49,78,8,12,17,2,18,0,87,0,0,13,64,45,83,9,42,16,46,84,2,46,11,0,66,0,61,0,72,44,0,57,20,67,0,65,0,0,71,21,29,59,7,87,0,1,81,0,40,86,73,74,0,84,56,46,62,0,76
"14",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,88,0,7,0,0,51,96,100,0,39,74,60,42,64,4,57,39,45,54,82,0,10,64,37,2,0,33,95,0,0,19,0,11,0,5,0,9,47,46,6,30,71,32,18,73,77,0,93,53,68,94,92,62,83,96,23,46,0,20,74,34,0,0,35,67,93,13,44,69,61,34,0,0,64,0,39,43,75,87,0,42,30,0,59,74
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,48,89,0,0,0,10,33,57,93,45,52,4,0,43,55,34,0,1,54,54,91,0,48,0,99,0,0,39,93,0,70,0,59,25,73,0,14,40,72,71,31,85,12,91,82,39,82,10,11,45,97,68,0,0,71,0,71,37,35,82,52,0,77,35,61,9,0,75,88,89,6,0,9,37,6,56,52,9,62,60,74,89,58,35,34,0,74
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,36,81,96,95,29,35,16,97,0,0,22,79,0,53,0,0,48,77,67,0,84,0,13,10,80,31,64,0,11,11,60,45,0,0,65,35,41,8,17,21,1,0,18,36,0,0,99,7,35,42,21,10,0,87,0,68,75,52,95,9,4,65,78,43,15,69,11,0,85,33,75,0,10,87,44,26,64,68,64,55,45,39,94
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,45,39,25,0,28,18,63,64,55,0,0,3,0,23,40,91,13,24,0,0,73,0,44,41,90,64,23,56,0,70,25,16,46,0,63,0,45,2,40,0,73,0,0,0,98,0,35,0,54,0,97,0,2,52,50,64,22,19,83,54,35,31,34,43,30,0,48,0,14,0,34,95,0,41,72,74,20,56,0,51,0,0,18,39
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,53,0,63,35,100,0,0,47,19,27,0,57,73,93,76,55,49,64,14,50,92,1,62,0,9,73,61,68,98,0,0,81,46,0,0,72,0,89,0,78,74,57,0,83,15,24,72,0,45,14,79,3,65,79,32,51,64,84,79,68,73,0,51,96,77,69,72,100,95,0,7,18,12,25,68,6,3,35,54,65,85,76,61
