"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",28,8,24,38,26,47,46,23,18,18,34,36,12,33,32,29,35,10,2,1,37,35,12,36,33,8,34,36,2,36,3,44,42,9,7,32,12,5,4,50,48,30,39,46,26,5,44,28,21,24,45,11,20,45,21,24,37,8,7,49,25,44,16,9,37,8,1,17,42,12,32,49,20,42,48,47,11,1,9,16,3,48,27,18,23,38,30,3,48,20,36,46,20,8,16,50,32,49,12,14
"2",0,0,0,57,60,52,0,0,0,0,98,70,88,0,84,0,0,68,0,0,0,92,0,0,94,0,0,0,0,0,0,0,0,86,26,0,0,0,0,25,78,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,88,0,0,0,0,0,0,0,0,0,0,0,24,0,27,0,87,0,0,0,0,61,0,40,0,0,0,0,0,0,0,0,91,0,84,96,0,0,0,0,0,52
"3",0,0,0,0,5,0,0,0,0,0,11,43,0,27,0,0,57,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,22,46,6,0,0,0,0,17,0,83,0,0,0,60,0,39,0,0,0,70,0,55,0,10,96,0,0,0,10,44,0,0,0,31,0,0,0,13,0,56,0,0,81,0,0,58,55,0,0,0,0,23,55,47,0,0,0,20,0,0,87,0,0,0
"4",0,0,0,0,38,0,59,0,0,0,0,85,91,11,0,0,0,0,0,0,0,0,12,0,0,0,54,0,0,86,0,0,0,0,0,66,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,0,64,18,0,0,0,43,0,0,0,0,63,0,93,0,0,0,0,0,0,2,0,65,0,45,0,0,0,0,0,0,0,0,0,34,51,0,8,0,41,53,0,0
"5",0,0,0,0,0,0,79,66,76,33,0,0,91,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,41,0,78,0,0,0,16,0,0,59,39,0,0,64,3,0,0,0,0,0,2,0,0,0,0,46,72,0,0,0,94,0,36,0,0,0,0,0,0,0,48,15,0,11,0,0,0,0,3,0,0,54,8,0,0,0,69,93,0,21,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,87,0,3,0,98,0,0,0,65,0,0,55,0,50,0,90,0,0,19,0,0,0,0,0,0,0,0,82,0,44,0,0,68,0,0,0,0,0,36,11,0,0,0,39,0,43,96,0,17,0,0,26,0,0,0,75,0,89,0,0,40,71,0,50,0,0,0,0,0,0,0,29,0,0,36,0,0,9,0,84,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,100,0,19,47,0,19,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,44,0,52,0,40,0,0,0,0,33,0,0,52,0,0,12,0,0,18,0,43,1
"8",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,87,17,0,0,0,56,0,0,0,0,0,0,0,10,0,69,0,17,0,50,71,0,0,0,46,0,0,0,0,51,78,21,0,0,85,0,0,0,0,0,38,0,0,0,0,0,53,66,0,48,0,45,0,0,0,0,0,0,70,0,23,0,0,0,0,0,0,0,0,0,0,0,17,25,72,0,31,0,0,0,55,25,0,0
"9",0,0,0,0,0,0,0,92,0,0,69,0,1,0,0,0,70,0,47,41,0,0,52,0,0,0,0,0,13,0,0,0,67,0,88,0,31,34,0,0,0,0,0,0,0,8,0,0,0,93,0,57,0,0,0,0,0,0,17,0,0,0,0,64,0,0,0,0,27,0,0,42,0,0,0,40,0,0,0,0,0,0,0,0,87,0,0,94,0,0,0,63,42,54,0,0,79,0,98,65
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,98,95,0,0,0,0,0,0,0,0,0,0,19,0,61,61,0,0,0,0,0,0,0,0,0,0,0,44,7,30,100,49,64,0,0,21,0,0,56,26,0,0,23,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,59,0,0,0,81,0,0,0,0,0,23,55,0,0,42,0,22,0,0,0
"11",0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,28,0,0,0,0,60,0,0,0,0,74,0,0,0,0,0,0,58,75,57,0,0,0,82,0,0,0,87,0,0,0,93,0,0,0,73,0,0,99,0,0,0,0,0,47,35,66,0,80,16,0,0,0,41,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,21,13,0,0,0,22,0,31,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,23,0,0,27,33,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,83,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,43,88,0,0,0,0,0,26,0,17,85,0,26,0,0,0,0,0,42,0,0,0,33,75,0,18,0,0,60,0,54,82,0,0,31,77,0,0,10,99,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,83,0,0,21,0,72,0,0,5,0,100,0,0,0,0,0,13,27,69,0,0,0,0,0,0,0,12,0,12,0,94,0,0,0,0,0,86,0,64,0,0,0,0,26,0,0,0,0,82,0,0,0,0,70,0,0,0,0,0,0,51,0,0,2,0,0,0,0,94,0,0,0,0,0,0,4,0,0,0,0,75,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,92,0,59,68,35,28,0,0,0,0,0,0,85,0,0,0,54,0,0,62,18,0,0,0,0,0,0,0,6,56,0,0,0,38,0,0,0,43,0,0,13,0,0,0,0,0,0,68,0,78,0,0,0,0,0,0,0,0,0,98,0,85,0,0,0,0,48,57,0,0,0,0,0,0,78,0,97,0,0,0,34,0,0,15,19
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,45,0,0,78,0,0,0,0,44,0,93,17,51,0,0,0,0,33,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,20,0,0,0,0,0,0,0,56,53,0,0,0,0,0,2,37,29,0,0,0,55,0,0,0,0,0,0,0,0,0,0,37,11,43,0,0,0,93,0,0,0,0,0,24,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,86,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,17,0,0,0,57,0,0,0,66,0,0,0,0,38,0,84,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,90,0,0,66,0,0,0,93,0,0,0,17,0,0,0,35,0,0,0,10,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,21,0,0,82,0,35,0,0,0,0,13,22,0,0,0,66,0,0,0,0,19,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,49,0,16,14,0,0,71,0,0,0,0,48,0,0,0,90,0,0,0,0,0,81,0,0,45,0,0,0,21,11,0,0,0,8,0,0,0,0,86,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,61,0,0,0,18,3,51,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,57,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,98,0,0,99,0,0,55,69,0,0,18,0,29,0,0,0,70,0,47,0,53,0,0,65
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,34,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,40,0,0,0,0,98,71,0,0,0,0,0,0,0,0,59,90,0,29,0,0,89,0,26,0,0,83,0,0,51,0,0,0,32,29,85,0,0,0,0,0,21,79,72,0,42,0,0,0,0,0,46,42,92,0,0,0,0,0
