"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",2,6,6,37,46,35,45,13,49,8,33,40,42,7,13,11,39,23,23,12,6,13,39,8,34,47,15,32,19,49,10,25,4,47,47,4,40,3,39,4,15,15,14,2,8,49,1,47,33,39,3,4,27,38,26,38,29,26,8,9,37,23,36,24,46,21,40,46,41,41,35,8,30,4,33,29,40,4,21,49,9,15,35,32,35,48,36,32,43,44,36,8,27,7,19,9,20,15,31,3,27,34,50,48,4,50,24,46,43,46,1,17,15,10,12,19,28,40,40,34,14,3,13,5,12,43,49,11,37,33,14,38,47,31,36,21,37,34,30,6,38,24,24,2,44,40,10,38,27,49,17,46,16,11,34,25,14,30,32,25,3,18,12,28,43,49,14,50,16,22,14,14,18,33,19,4,24,2,32,11,6,7,40,33,14,39,8,46,47,16,31,5,7,6,10,3,41,23,16,36
"2",0,0,69,64,53,0,0,0,14,0,0,74,0,0,86,72,0,0,76,35,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,19,0,30,0,0,0,0,0,0,0,0,26,0,0,0,0,80,0,0,82,0,0,0,0,84,0,0,91,0,0,0,0,0,66,0,0,0,0,60,94,0,0,23,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,19,57,0,45,0,0,0,0,0,0,0,0,0,78,0,0,0,4,0,0,0,0,0,0,4,51,0,0,0,0,0,0,0,8,0,0,0,0,0,0,42,37,13,0,0,45,41,50,0,18,0,76,40,0,63,88,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,30,41,0,65,0,0,0,23,94,0,0,14,27,41,96,0,0,0,0,0,0,0,0,19,0
"3",0,0,0,25,0,0,0,0,0,94,17,0,0,0,0,0,0,99,0,0,86,31,0,0,0,0,0,0,0,73,81,0,0,0,0,30,66,0,0,0,0,45,13,0,13,45,84,0,83,0,10,0,0,96,0,0,0,0,19,68,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,18,0,0,75,0,0,0,0,0,0,92,75,0,93,73,0,0,10,60,9,48,0,55,0,0,0,0,88,23,0,0,0,0,0,0,2,92,0,0,0,0,0,73,0,0,0,0,0,22,0,0,8,0,0,91,0,3,0,0,0,0,85,0,0,0,45,0,0,0,0,11,0,51,0,0,0,48,0,0,0,0,0,0,0,0,0,87,0,0,79,0,23,0,0,31,17,0,75,0,0,0,0,0,0,0,9,0,0,0,0,0,50
"4",0,0,0,0,81,0,0,0,2,0,0,0,64,0,2,0,79,78,0,0,0,0,0,0,35,0,0,0,26,63,0,0,0,0,0,0,0,0,0,0,78,0,89,0,100,65,0,88,0,0,0,0,0,0,0,65,34,0,0,0,0,0,0,50,0,0,0,61,0,38,0,0,100,0,0,17,0,0,0,0,0,0,0,87,0,77,0,0,68,6,12,0,0,0,0,56,0,0,71,72,0,0,0,12,78,0,0,0,0,0,0,0,68,0,0,0,16,83,0,5,0,34,0,0,0,0,21,0,0,0,0,0,0,13,0,0,0,0,0,0,90,0,0,82,0,0,15,18,80,0,0,75,0,0,0,0,0,0,0,0,48,0,0,4,0,20,59,0,0,0,35,0,0,0,0,70,0,38,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
"5",0,0,0,0,0,0,98,0,0,0,17,0,0,0,88,0,0,0,0,26,0,0,86,0,0,19,0,41,0,11,0,0,12,0,28,99,39,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,28,0,0,0,0,0,0,31,0,0,0,0,0,90,0,0,0,0,0,0,0,0,12,0,75,0,0,0,0,0,0,31,0,0,0,56,0,0,14,0,0,0,16,0,67,0,0,0,0,40,0,68,0,0,0,0,0,85,0,0,0,0,0,63,0,0,10,20,0,11,0,0,0,0,11,0,0,6,0,96,0,0,60,0,97,0,0,0,28,29,0,0,0,0,0,0,0,0,0,0,33,0,0,21,96,0,29,0,0,0,0,0,67,0,0,6,0,0,0,0,10,0,0,0,0,4,0,92,0,0,26,0,33,0,0,36,0,0,0,93,0,0,0,0,47,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,65,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,10,46,60,0,16,0,0,58,0,0,16,12,0,0,0,0,87,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,60,0,0,0,0,0,0,21,96,0,0,58,0,0,0,0,0,0,23,84,0,3,0,0,0,0,0,0,91,72,0,39,0,0,21,0,0,0,0,41,0,0,29,0,0,0,0,0,0,1,0,0,85,0,6,5,0,0,0,0,70,0,0,0,53,82,24,0,91,89,86,0,0,29,0,34,0,0,0,0,71,0,74,0,0,0,0,0,0,0,0,0,61,0,0,0,8,0,0,91,51,0,0,0,0,0,0,0,0,0,91,50,0,42,0,0,0,0,48,0,0,0,0,0,0,0,78,74,54,0,0,0
"7",0,0,0,0,0,0,85,0,92,0,0,0,36,0,0,72,0,0,35,0,0,33,49,0,0,0,0,0,0,0,15,69,0,0,0,0,0,14,0,0,0,64,0,68,0,0,0,0,59,5,0,0,33,0,0,0,0,51,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,75,15,78,68,60,0,45,0,0,0,0,20,0,0,0,55,74,29,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,87,65,0,100,0,0,55,0,71,0,2,0,0,0,0,0,83,0,39,0,71,0,0,49,0,0,98,0,0,97,0,0,26,0,3,0,19,0,0,80,0,0,0,0,0,20,100,0,0,0,0,0,0,95,0,0,0,0,0,0,48,0,88,0,0,0,58,0,0,0,88,0,0,0,0,75,0,15,0,21,53,0,35,0,3,88,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,38,0,0,0,70,0,39,0,0,0,0,0,0,0,84,7,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,95,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,85,0,66,6,42,0,39,40,19,0,0,0,0,39,0,0,18,0,0,0,0,0,0,0,0,82,0,0,32,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,96,0,0,0,63,70,0,0,95,0,0,0,0,0,0,0,0,0,13,89,0,0,0,0,55,0,0,63,0,0,0,28,0,0,0,0,0,73,0,0,0,0,0,0,4,85,0,0,0,0,0,0,0,0,0,0,40,0,0
"9",0,0,0,0,0,0,0,44,35,0,0,0,0,0,0,0,0,79,0,4,0,0,0,76,0,0,6,78,0,0,0,0,0,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,27,0,0,54,0,0,0,0,0,76,72,97,95,6,0,0,0,5,7,0,80,0,0,66,47,0,0,0,82,0,18,0,0,0,0,34,0,28,0,0,15,92,0,0,0,0,0,0,0,8,0,0,0,64,0,0,0,0,4,0,0,71,0,0,0,0,0,0,0,11,0,0,66,0,55,0,0,0,0,0,0,100,0,17,32,0,0,57,27,0,0,0,56,92,70,0,0,0,88,0,0,45,0,0,0,0,0,0,0,0,63,0,0,0,44,0,0,0,0,0,0,0,0,0,0,90,0,95,89,20,0,0,0,19,0,0,0,84,0,0,0,0,0,57,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,45,0,18,0,0,0,0,0,0,9,0,0,15,65,0,0,0,56,57,0,0,0,0,0,0,58,52,0,0,0,0,0,81,74,0,0,0,45,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,23,48,0,0,0,0,0,0,0,72,40,89,0,0,0,0,0,98,0,0,0,0,0,39,56,0,0,0,0,0,0,0,0,0,0,0,46,0,66,0,0,0,0,90,0,0,0,15,85,0,0,35,0,20,0,38,78,0,0,31,0,0,0,12,77,0,77,0,0,0,0,0,0,0,0,0,0,38,0,0,93,0,0,0,0,0,0,0,0,0,75,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,93,0,68,57,80
