"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",20,39,17,41,4,36,15,47,29,19,24,46,18,20,35,39,27,23,17,8,36,34,12,3,4,13,19,27,41,43,13,9,5,36,18,23,15,9,18,34,7,19,37,38,28,13,4,35,29,33,8,16,34,29,33,7,21,13,44,24,45,20,8,46,31,35,4,28,21,8,17,2,17,4,49,21,20,48,36,12,50,10,49,13,35,10,45,38,13,12,3,36,5,39,35,4,26,24,34,18
"2",93,22,49,34,12,39,14,39,2,11,100,27,17,58,71,48,63,35,50,42,25,61,43,97,55,18,93,12,62,15,44,48,58,79,52,87,100,27,30,73,36,24,83,6,21,29,57,37,84,95,77,13,83,81,14,26,5,56,34,82,12,79,48,48,27,65,80,7,56,82,7,54,76,94,90,39,96,15,55,84,9,56,22,45,18,56,43,27,87,44,27,44,94,19,14,44,13,43,74,38
"3",0,64,35,47,15,32,34,98,44,96,86,36,55,40,43,27,37,63,89,92,71,58,26,61,28,79,35,10,63,70,60,98,100,80,94,68,54,5,89,37,51,57,100,28,16,56,37,18,33,29,100,35,69,97,66,73,39,50,39,69,15,71,30,87,85,26,91,55,3,97,34,22,71,57,78,48,19,61,28,94,36,33,51,16,16,80,87,68,100,30,49,19,84,66,77,4,28,94,75,49
"4",0,0,53,28,49,2,52,19,83,77,77,25,32,6,76,31,15,60,23,24,66,7,68,47,35,31,80,67,87,64,94,8,3,90,1,21,88,6,84,99,46,27,92,32,35,4,2,41,36,71,74,40,88,21,56,34,92,33,99,37,82,77,45,91,70,98,44,54,83,15,5,66,3,26,92,10,91,89,7,51,5,3,84,56,100,14,7,11,49,18,75,8,8,42,45,72,81,29,72,32
"5",0,0,0,29,14,16,70,10,92,45,49,27,31,79,99,63,29,90,65,48,41,64,55,70,48,32,86,72,78,36,63,79,45,44,71,82,24,49,27,35,67,18,34,11,93,20,87,6,78,45,91,93,66,46,43,85,33,20,78,15,67,82,95,63,22,81,42,74,95,80,4,8,30,32,80,7,61,5,62,38,5,58,23,81,94,28,41,77,72,4,49,85,58,16,15,14,15,92,60,10
"6",0,0,0,0,62,85,53,48,26,20,77,17,47,34,17,43,54,8,20,23,18,64,48,97,15,39,31,1,89,38,48,77,77,58,58,64,29,46,46,94,52,27,60,55,1,4,54,22,18,1,44,64,33,78,18,77,76,58,72,68,56,17,66,87,69,78,24,80,17,83,79,100,30,49,85,85,66,97,42,70,61,65,25,75,73,8,50,47,30,54,57,36,89,82,56,53,63,98,78,34
"7",0,0,0,0,0,48,66,93,4,39,23,23,10,88,24,43,90,61,4,26,71,66,37,95,88,15,5,37,32,59,22,81,40,36,31,85,6,13,32,1,8,16,75,78,20,14,64,100,65,93,89,100,75,20,79,83,47,97,36,80,4,20,80,73,43,14,22,8,67,12,59,15,7,12,48,26,18,26,75,22,13,40,18,65,42,28,65,98,30,36,40,17,35,99,74,33,45,31,57,22
"8",0,0,0,0,0,0,21,80,52,55,90,43,35,7,3,21,57,13,80,71,30,74,67,36,26,61,98,1,53,64,20,25,54,38,47,49,68,80,19,72,64,34,61,3,9,95,44,84,86,76,1,55,89,43,69,15,48,13,58,47,4,8,24,7,64,10,6,77,21,13,97,4,63,51,30,64,74,4,2,100,16,69,90,49,10,68,26,11,42,91,31,100,97,22,11,47,90,42,50,47
"9",0,0,0,0,0,0,0,50,40,92,95,5,84,71,98,63,85,16,20,51,15,1,49,76,45,82,54,24,35,53,45,73,99,86,48,11,95,13,21,70,51,75,34,21,7,31,32,11,29,35,34,11,6,54,70,69,60,76,20,3,24,97,36,74,99,89,22,79,92,15,31,64,57,99,48,88,63,56,36,58,81,77,58,27,8,92,17,62,61,48,41,6,98,29,41,77,39,28,33,76
"10",0,0,0,0,0,0,0,0,8,48,3,9,7,44,11,45,89,93,68,52,44,19,38,64,63,56,79,52,49,55,76,23,40,9,7,6,70,51,17,64,70,20,59,39,48,82,1,26,76,56,70,73,63,46,41,54,85,84,15,70,75,87,48,3,63,72,40,7,64,57,13,69,53,77,55,79,69,24,17,15,64,60,10,27,69,62,96,9,7,28,77,98,73,68,47,51,25,4,19,7
